Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
7.06858e-08 0.426575 0.573425 0.989289 0.0107109 0.0260493 0.0306368
7.10428e-08 0.439244 0.560756 0.991588 0.00841209 0.0353971 0.0237932
7.13998e-08 0.4484 0.5516 0.992231 0.00776894 0.0421896 0.0526292
7.17568e-08 0.50752 0.49248 0.997887 0.00211332 -0.0587245 -0.0215204
7.21138e-08 0.513261 0.486739 0.984641 0.0153588 0.0486275 0.170326
7.24708e-08 0.539948 0.460052 0.984385 0.0156151 0.00267023 -0.0336264
7.28278e-08 0.566552 0.433448 0.976166 0.0238342 0.00346612 0.17292
7.31848e-08 0.570168 0.429832 0.958658 0.0413421 0.0441386 0.116199
7.35418e-08 0.609183 0.390817 0.962935 0.0370654 -0.0326887 -0.105766
7.38988e-08 0.633282 0.366718 0.94305 0.0569498 0.000839969 0.103257
7.42558e-08 0.673065 0.326935 0.938182 0.0618176 -0.037677 -0.0324287
7.46128e-08 0.681483 0.318517 0.903655 0.0963453 0.0286872 0.158115
7.49698e-08 0.677898 0.322102 0.878776 0.121224 0.0462702 0.164429
7.53268e-08 0.675117 0.324883 0.862247 0.137753 0.0347156 0.00945328
7.56838e-08 0.686943 0.313057 0.853574 0.146426 0.00162072 -0.154817
7.60408e-08 0.768704 0.231296 0.884688 0.115312 -0.149903 -0.130101
7.63978e-08 0.769667 0.230333 0.793861 0.206139 0.0371989 0.100767
7.67548e-08 0.805362 0.194638 0.805979 0.194021 -0.0547688 0.000422463
7.71118e-08 0.816078 0.183922 0.757953 0.242047 0.00302624 -0.184984
7.74688e-08 0.846638 0.153362 0.751437 0.248563 -0.0438386 0.00883353
7.78258e-08 0.840483 0.159517 0.680743 0.319257 0.0519319 -0.0572628
7.81828e-08 0.851507 0.148493 0.673419 0.326581 0.0047685 0.159223
7.85398e-08 0.86979 0.13021 0.660304 0.339696 -0.0293281 -0.0101934
7.88968e-08 0.879161 0.120839 0.620747 0.379253 -0.00789207 -0.0838473
7.92538e-08 0.888402 0.111598 0.590727 0.409273 -0.00752429 -0.0847116
7.96108e-08 0.913479 0.0865206 0.586818 0.413182 -0.0620506 0.0438057
7.99678e-08 0.908059 0.0919407 0.510662 0.489338 0.0334641 -0.258936
8.03248e-08 0.921488 0.0785116 0.507724 0.492276 -0.0234586 0.121736
8.06818e-08 0.915327 0.0846728 0.447479 0.552521 0.0344287 0.121435
8.10388e-08 0.896944 0.103056 0.403087 0.596913 0.0614365 0.158961
8.13958e-08 0.889063 0.110937 0.398166 0.601834 0.00866237 0.141272
8.17528e-08 0.856029 0.143971 0.338795 0.661205 0.0699678 -0.0243198
8.21098e-08 0.821199 0.178801 0.313234 0.686766 0.0635509 -0.0896933
8.24668e-08 0.77201 0.22799 0.271146 0.728854 0.0933737 0.123127
8.28238e-08 0.723998 0.276002 0.253458 0.746542 0.0730987 -0.110165
8.31808e-08 0.708356 0.291644 0.257485 0.742515 0.00133314 0.0738244
8.35378e-08 0.742232 0.257768 0.28108 0.71892 -0.114306 0.0618728
8.38948e-08 0.727096 0.272904 0.208871 0.791129 -0.00817068 0.0335176
8.42518e-08 0.708148 0.291852 0.182694 0.817306 -0.00289339 -0.0729496
8.46088e-08 0.622725 0.377275 0.110863 0.889137 0.138756 0.232452
8.49658e-08 0.574255 0.425745 0.120998 0.879002 0.046337 -0.059168
