Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,9.41812e-05,0.938641,0.0613586,0.995915,0.00408501
0.01,9.44161e-05,0.929643,0.0703572,0.99038,0.00962024
0.01,9.4651e-05,0.918999,0.0810011,0.983346,0.0166537
0.01,9.48858e-05,0.900567,0.0994334,0.971234,0.028766
0.01,9.51207e-05,0.884196,0.115804,0.96354,0.0364598
0.01,9.53556e-05,0.871716,0.128284,0.954646,0.045354
0.01,9.55904e-05,0.848543,0.151457,0.934813,0.0651865
0.01,9.58253e-05,0.824276,0.175724,0.918856,0.081144
0.01,9.60602e-05,0.795718,0.204282,0.898702,0.101298
0.01,9.6295e-05,0.777883,0.222117,0.888309,0.111691
0.01,9.65299e-05,0.761632,0.238368,0.869929,0.130071
0.01,9.67648e-05,0.733883,0.266117,0.839402,0.160598
0.01,9.69996e-05,0.703907,0.296093,0.81476,0.18524
0.01,9.72345e-05,0.672204,0.327796,0.789131,0.210869
0.01,9.74694e-05,0.653027,0.346973,0.775536,0.224464
0.01,9.77042e-05,0.643037,0.356963,0.758019,0.241981
0.01,9.79391e-05,0.604377,0.395623,0.704694,0.295306
