Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,9.63898e-08,0.199334,0.800666,0.304764,0.695236
0.01,0,9.67468e-08,0.219132,0.780868,0.33235,0.66765
0.01,0,9.71038e-08,0.243325,0.756675,0.366182,0.633818
0.01,0,9.74608e-08,0.261137,0.738863,0.388532,0.611468
0.01,0,9.78178e-08,0.293046,0.706954,0.433159,0.566841
0.01,0,9.81748e-08,0.323841,0.676159,0.461186,0.538814
0.01,0,9.85318e-08,0.347055,0.652945,0.483993,0.516007
0.01,0,9.88888e-08,0.370113,0.629887,0.515269,0.484731
0.01,0,9.92458e-08,0.400096,0.599904,0.55331,0.44669
0.01,0,9.96028e-08,0.432684,0.567316,0.586492,0.413508
0.01,0,9.99598e-08,0.451696,0.548304,0.604066,0.395934
0.01,0,1.00317e-07,0.481152,0.518848,0.644719,0.355281
0.01,0,1.00674e-07,0.516323,0.483677,0.679381,0.320619
0.01,0,1.01031e-07,0.544214,0.455786,0.702224,0.297776
0.01,0,1.01388e-07,0.577518,0.422482,0.736083,0.263917
0.01,0,1.01745e-07,0.604377,0.395623,0.757863,0.242137
0.01,0,1.02102e-07,0.62688,0.37312,0.781549,0.218451
0.01,0,1.02459e-07,0.669793,0.330207,0.824216,0.175784
0.01,0,1.02816e-07,0.692217,0.307783,0.832643,0.167357
0.01,0,1.03173e-07,0.708235,0.291765,0.851324,0.148676
0.01,0,1.0353e-07,0.725529,0.274471,0.874572,0.125428
0.01,0,1.03887e-07,0.736811,0.263189,0.890729,0.109271
0.01,0,1.04244e-07,0.749124,0.250876,0.91112,0.0888803
0.01,0,1.04601e-07,0.763116,0.236884,0.928868,0.071132
0.01,0,1.04958e-07,0.77112,0.22888,0.941969,0.0580306
0.01,0,1.05315e-07,0.787202,0.212798,0.960069,0.0399308
0.01,0,1.05672e-07,0.807059,0.192941,0.973338,0.0266615
0.01,0,1.06029e-07,0.815198,0.184802,0.978828,0.0211716
0.01,0,1.06386e-07,0.827756,0.172244,0.988258,0.0117417
0.01,0,1.06743e-07,0.843353,0.156647,0.995019,0.00498084
0.01,0,1.071e-07,0.86545,0.13455,0.99929,0.000710428
0.01,0,1.07457e-07,0.875319,0.124681,0.999867,0.000132904
0.01,0,1.07814e-07,0.882107,0.117893,0.999658,0.000341668
0.01,0,1.08171e-07,0.881018,0.118982,0.996477,0.0035233
0.01,0,1.08528e-07,0.882057,0.117943,0.992521,0.00747927
0.01,0,1.08885e-07,0.875611,0.124389,0.984129,0.0158711
0.01,0,1.09242e-07,0.872567,0.127433,0.977625,0.0223749
0.01,0,1.09599e-07,0.869384,0.130616,0.968445,0.031555
0.01,0,1.09956e-07,0.859214,0.140786,0.952481,0.0475193
0.01,0,1.10313e-07,0.854801,0.145199,0.942927,0.0570729
0.01,0,1.1067e-07,0.849448,0.150552,0.92746,0.0725402
0.01,0,1.11027e-07,0.850238,0.149762,0.915523,0.084477
0.01,0,1.11384e-07,0.841245,0.158755,0.889607,0.110393
0.01,0,1.11741e-07,0.832357,0.167643,0.870538,0.129462
0.01,0,1.12098e-07,0.829302,0.170698,0.855533,0.144467
0.01,0,1.12455e-07,0.816731,0.183269,0.824608,0.175392
0.01,0,1.12812e-07,0.803227,0.196773,0.800205,0.199795
0.01,0,1.13169e-07,0.7836,0.2164,0.77074,0.22926
0.01,0,1.13526e-07,0.763234,0.236766,0.744942,0.255058
0.01,0,1.13883e-07,0.757082,0.242918,0.732705,0.267295
0.01,0,1.1424e-07,0.734533,0.265467,0.688512,0.311488
0.01,0,1.14597e-07,0.70416,0.29584,0.652833,0.347167
0.01,0,1.14954e-07,0.682922,0.317078,0.633908,0.366092
